id,dedup_count,trim_count
ucin209,1017128,1017127
ucin210RE,1291954,1291950
ucin211RE,2120597,2120597
ucin212RE,1373298,1373298
ucin213conc,127591,127591
ucin214z,419524,419522
ucin215,263782,263782
ucin216,104459,104459
ucin217,1260302,1260302
ucin218,439279,439279
ucin219,291889,291889
ucin220,262226,262226
ucin221,340831,340831
ucin222,401760,401760
ucin223,78868,78868
ucin224,11047,11047
ucin225,1058445,1058445
ucin226,345635,345634
ucin227conc,1083129,1083128
ucin228z,1313181,1313181
ucin229,589062,589061
ucin230,1204873,1204867
ucin231,1140222,1140221
ucin232,1154786,1154784
ucin233,477352,477350
ucin234,1134220,1134220
ucin235z,856014,856014
ucin236,765783,765783
ucin236replicate,985550,985550
ucin237,1385267,1385267
ucin238,496420,496420
ucin239,1532076,1532076
ucin240,1567198,1567198
ucin241,990152,990152
ucin242,294060,294060
ucin243,1074585,1074583
ucin244,675404,675403
ucin245,39349837,39349767
ucin246z,589027,589027
ucin249,1110567,1110566
ucin251,1240580,1240580
ucin252z,549809,549809
ucin253,809938,809938
ucin256,398924,398924
ucin257,1675011,1675009
ucin258,785959,785959
ucin259,1131031,1131031
ucin260reconc,1035564,1035564
ucin261,746462,746462
ucin261replicate,168331,168331
ucin262reconc,1333173,1333173
ucin263,541846,541846
ucin264,517543,517543
ucin265conc,862460,862460
ucin266reconc,1412262,1412262
ucin267,1361963,1361961
ucin268,1233900,1233900
ucin269,1404312,1404312
ucin270,683140,683140
ucin271REz,291003,291003
ucin273,1082551,1082551
ucin274re,706535,706535
ucin275,1188398,1188398
ucin276z,430817,430817
ucin277z,423204,423204
ucin278z,594076,594076
ucin279conc,631734,631734
ucin279concreplicate,1654819,1654817
ucin300,805398,805398
ucin301,785941,785941
ucin302,397404,397404
ucin303,319398,319398
ucin304,63588,63588
ucin305,476710,476708
ucin306,1283994,1283994
ucin307,600890,600890
ucin308,270694,270693
ucin309,692600,692600
ucin310conc,488395,488395
ucin311,82950,82950
ucin312,67392,67392
ucin313,1233062,1233060
ucin314z,697379,697379
ucin315,781523,781523
ucin316,1195771,1195771
ucin317z,591724,591724
ucin318,687224,687223
ucin319z,202000,202000
ucin320z,988833,988831
ucin321,1597836,1597835
ucin322,369811,369811
ucin323,523262,523262
ucin324z,1522418,1522418
ucin325re,52168,52168
ucin326conc,879739,879739
ucin327re,909047,909046
ucin328,1019315,1019312
ucin329,1264634,1264633
ucin330,373085,373084
