id,qfilt_count
ucin142.dedup.trim,0
ucin143.dedup.trim,0
ucin144.dedup.trim,0
ucin145.dedup.trim,0
ucin146.dedup.trim,0
ucin147z.dedup.trim,0
ucin148.dedup.trim,0
ucin149.dedup.trim,0
ucin150z.dedup.trim,0
ucin151.dedup.trim,0
ucin152.dedup.trim,0
ucin153conc.dedup.trim,0
ucin154re.dedup.trim,0
ucin156re.dedup.trim,0
ucin157conc.dedup.trim,0
ucin159conc.dedup.trim,0
ucin160re.dedup.trim,0
ucin161conc.dedup.trim,0
ucin162conc.dedup.trim,0
ucin163z.dedup.trim,0
ucin164re.dedup.trim,0
ucin165conc.dedup.trim,0
ucin166z.dedup.trim,0
ucin167conc.dedup.trim,0
ucin168.dedup.trim,0
ucin169z.dedup.trim,0
ucin170conc.dedup.trim,0
ucin178.dedup.trim,0
ucin179REz.dedup.trim,0
ucin181conc.dedup.trim,0
ucin182conc.dedup.trim,0
ucin203conc.dedup.trim,0
ucin204conc.dedup.trim,0
ucin205.dedup.trim,0
ucin206.dedup.trim,0
ucin207.dedup.trim,0
ucin208.dedup.trim,0
ucin209.dedup.trim,0
ucin210RE.dedup.trim,0
ucin211RE.dedup.trim,0
ucin212RE.dedup.trim,0
ucin213conc.dedup.trim,0
ucin214z.dedup.trim,0
ucin215.dedup.trim,0
ucin216.dedup.trim,0
ucin217.dedup.trim,0
ucin218.dedup.trim,0
ucin219.dedup.trim,0
ucin220.dedup.trim,0
ucin221.dedup.trim,0
ucin222.dedup.trim,0
ucin223.dedup.trim,0
ucin224.dedup.trim,0
ucin225.dedup.trim,0
ucin226.dedup.trim,0
ucin227conc.dedup.trim,0
ucin228z.dedup.trim,0
ucin229.dedup.trim,0
ucin230.dedup.trim,0
ucin231.dedup.trim,0
ucin232.dedup.trim,0
ucin233.dedup.trim,0
ucin234.dedup.trim,0
ucin235z.dedup.trim,0
ucin236.dedup.trim,0
ucin236replicate.dedup.trim,0
ucin237.dedup.trim,0
ucin238.dedup.trim,0
ucin239.dedup.trim,0
ucin240.dedup.trim,0
ucin241.dedup.trim,0
ucin242.dedup.trim,0
ucin243.dedup.trim,0
ucin244.dedup.trim,0
ucin245.dedup.trim,0
ucin246z.dedup.trim,0
ucin249.dedup.trim,0
ucin251.dedup.trim,0
ucin252z.dedup.trim,0
ucin253.dedup.trim,0
ucin256.dedup.trim,0
ucin257.dedup.trim,0
ucin258.dedup.trim,0
ucin259.dedup.trim,0
ucin260reconc.dedup.trim,0
ucin261.dedup.trim,0
ucin261replicate.dedup.trim,0
ucin262reconc.dedup.trim,0
ucin263.dedup.trim,0
ucin264.dedup.trim,0
ucin265conc.dedup.trim,0
ucin266reconc.dedup.trim,0
ucin267.dedup.trim,0
ucin268.dedup.trim,0
ucin269.dedup.trim,0
ucin270.dedup.trim,0
ucin271REz.dedup.trim,0
ucin273.dedup.trim,0
ucin274re.dedup.trim,0
ucin275.dedup.trim,0
ucin276z.dedup.trim,0
ucin277z.dedup.trim,0
ucin278z.dedup.trim,0
ucin279conc.dedup.trim,0
ucin279concreplicate.dedup.trim,0
ucin300.dedup.trim,0
ucin301.dedup.trim,0
ucin302.dedup.trim,0
ucin303.dedup.trim,0
ucin304.dedup.trim,0
ucin305.dedup.trim,0
ucin306.dedup.trim,0
ucin307.dedup.trim,0
ucin308.dedup.trim,0
ucin309.dedup.trim,0
ucin310conc.dedup.trim,0
ucin311.dedup.trim,0
ucin312.dedup.trim,0
ucin313.dedup.trim,0
ucin314z.dedup.trim,0
ucin315.dedup.trim,0
ucin316.dedup.trim,0
ucin317z.dedup.trim,0
ucin318.dedup.trim,0
ucin319z.dedup.trim,0
ucin320z.dedup.trim,0
ucin321.dedup.trim,0
ucin322.dedup.trim,0
ucin323.dedup.trim,0
ucin324z.dedup.trim,0
ucin325re.dedup.trim,0
ucin326conc.dedup.trim,0
ucin327re.dedup.trim,0
ucin328.dedup.trim,0
ucin329.dedup.trim,0
ucin330.dedup.trim,0
ucin331.dedup.trim,0
ucin332.dedup.trim,0
ucin333.dedup.trim,0
ucin334re.dedup.trim,0
ucin335z.dedup.trim,0
ucin336.dedup.trim,0
ucin337.dedup.trim,0
ucin338.dedup.trim,0
ucin339.dedup.trim,0
ucin340.dedup.trim,0
ucin341conc.dedup.trim,0
ucin342re.dedup.trim,0
ucin343conc.dedup.trim,0
ucin344.dedup.trim,0
ucin345re.dedup.trim,0
ucin346.dedup.trim,0
ucin347conc.dedup.trim,0
ucin348.dedup.trim,0
ucin349conc.dedup.trim,0
ucin350.dedup.trim,0
ucin351re.dedup.trim,0
ucin352z.dedup.trim,0
ucin353z.dedup.trim,0
ucin354.dedup.trim,0
ucin355.dedup.trim,0
ucin356.dedup.trim,0
ucin357z.dedup.trim,0
ucin358conc.dedup.trim,0
ucin359.dedup.trim,0
ucin360.dedup.trim,0
ucin361.dedup.trim,0
ucin362z.dedup.trim,0
ucin363.dedup.trim,0
ucin364conc.dedup.trim,0
ucin365.dedup.trim,0
ucin379.dedup.trim,0
ucin380conc.dedup.trim,0
ucin381.dedup.trim,0
ucin382.dedup.trim,0
ucin383.dedup.trim,0
ucin384REz.dedup.trim,0
ucin385.dedup.trim,0
ucin386.dedup.trim,0
ucin399.dedup.trim,0
ucin400.dedup.trim,0
ucin401.dedup.trim,0
ucin402.dedup.trim,0
ucin404.dedup.trim,0
ucin405.dedup.trim,0
ucin406RE.dedup.trim,0
ucin407RE.dedup.trim,0
ucin408re.dedup.trim,0
ucin409.dedup.trim,0
ucin410z.dedup.trim,0
ucin411z.dedup.trim,0
ucin412.dedup.trim,0
ucin413.dedup.trim,0
ucin413replicate.dedup.trim,0
ucin414.dedup.trim,0
ucin415.dedup.trim,0
ucin416.dedup.trim,0
ucin417z.dedup.trim,0
ucin418z.dedup.trim,0
ucin419conc.dedup.trim,0
ucin420.dedup.trim,0
ucin421z.dedup.trim,0
ucin422.dedup.trim,0
ucin423z.dedup.trim,0
ucin424.dedup.trim,0
ucin425.dedup.trim,0
ucin426.dedup.trim,0
ucin427RE.dedup.trim,0
ucin428z.dedup.trim,0
ucin429.dedup.trim,0
ucin430z.dedup.trim,0
ucin431z.dedup.trim,0
ucin432z.dedup.trim,0
ucin433.dedup.trim,0
ucin434.dedup.trim,0
ucin435.dedup.trim,0
ucin436.dedup.trim,0
ucin437.dedup.trim,0
