id,dedup_count
ucin074,994237
ucin075,659276
ucin076z,1072463
ucin077z,759650
ucin078z,1442063
ucin079z,1352278
ucin080z,1812664
ucin081,696015
ucin083,884862
ucin089,876238
ucin090,722006
ucin091,852807
ucin092,169812
ucin093,865400
ucin094,605321
ucin095,1642429
ucin096,1781167
ucin097,1275913
ucin098,1547397
ucin099,928981
ucin100,1466298
ucin101,694179
ucin102,1108984
ucin103,638612
ucin104,1325615
ucin105,1262032
ucin106,1277846
ucin107,932147
ucin108,669631
ucin109,796082
ucin110,935976
ucin111,871241
ucin112,683524
ucin113,1364583
ucin115re,1253570
ucin116conc,704550
ucin117conc,617587
ucin118conc,1192361
ucin119re,966017
ucin120conc,688676
ucin121conc,834687
ucin122re,209330
ucin123z,1180279
ucin124,84367
ucin125,766434
ucin126,957886
ucin127,712713
ucin128,870700
ucin129z,939841
ucin130z,1169852
ucin131z,389549
ucin132,436215
ucin133,401908
ucin134z,340477
ucin135,76685
ucin136,53251
ucin137,1281716
ucin138,626521
ucin139,547421
ucin140,839253
ucin141,978094
ucin142,823964
ucin143,300012
ucin144,243557
ucin145,1274617
ucin146,1285394
ucin147z,515705
ucin148,1380207
ucin149,1023921
ucin150z,463194
ucin151,782186
ucin152,636983
ucin153conc,401701
ucin154re,98081
ucin156re,1414030
ucin157conc,580564
ucin159conc,889151
ucin160re,658715
ucin161conc,543948
ucin162conc,800538
ucin163z,957359
ucin164re,189148
ucin165conc,74118
ucin166z,282592
ucin167conc,714959
ucin168,551918
ucin169z,277691
ucin170conc,752147
ucin178,304225
ucin179REz,311923
ucin181conc,340845
ucin182conc,448397
ucin203conc,40016
ucin204conc,50740
ucin205,1544888
ucin206,1416621
ucin207,1455967
ucin208,564465
ucin209,1017128
ucin210RE,1291954
ucin211RE,2120597
ucin212RE,1373298
ucin213conc,127591
ucin214z,419524
ucin215,263782
ucin216,104459
ucin217,1260302
ucin218,439279
ucin219,291889
ucin220,262226
ucin221,340831
ucin222,401760
ucin223,78868
ucin224,11047
ucin225,1058445
ucin226,345635
ucin227conc,1083129
ucin228z,1313181
ucin229,589062
ucin230,1204873
ucin231,1140222
ucin232,1154786
ucin233,477352
ucin234,1134220
ucin235z,856014
ucin236,765783
ucin236replicate,985550
ucin237,1385267
ucin238,496420
ucin239,1532076
