id,trim_count
ucin104,1325615
ucin105,1262031
ucin106,1277846
ucin107,932147
ucin108,669630
ucin109,796082
ucin110,935976
ucin111,871240
ucin112,683524
ucin113,1364583
ucin115re,1253570
ucin116conc,704550
ucin117conc,617587
ucin118conc,1192361
ucin119re,966017
ucin120conc,688676
ucin121conc,834687
ucin122re,209330
ucin123z,1180279
ucin124,84367
ucin125,766434
ucin126,957886
ucin127,712713
ucin128,870700
ucin129z,939841
ucin130z,1169852
ucin131z,389549
ucin132,436215
ucin133,401908
ucin134z,340477
ucin135,76685
ucin136,53251
ucin137,1281716
ucin138,626521
ucin139,547421
ucin140,839253
ucin141,978094
ucin142,823964
ucin143,300012
ucin144,243557
ucin145,1274617
ucin146,1285394
ucin147z,515705
ucin148,1380207
ucin149,1023920
ucin150z,463193
ucin151,782184
ucin152,636983
ucin153conc,401701
ucin154re,98081
ucin156re,1414029
ucin157conc,580561
ucin159conc,889150
ucin160re,658714
ucin161conc,543946
ucin162conc,800534
ucin163z,957359
ucin164re,189148
ucin165conc,74118
ucin166z,282592
ucin167conc,714959
ucin168,551918
ucin169z,277690
ucin170conc,752147
ucin178,304225
ucin179REz,311923
ucin181conc,340845
ucin182conc,448397
ucin203conc,40016
ucin204conc,50740
ucin205,1544888
ucin206,1416621
ucin207,1455967
ucin208,564465
ucin209,1017127
ucin210RE,1291950
ucin211RE,2120597
ucin212RE,1373298
ucin213conc,127591
ucin214z,419522
ucin215,263782
ucin216,104459
ucin217,1260302
ucin218,439279
ucin219,291889
ucin220,262226
ucin221,340831
ucin222,401760
ucin223,78868
ucin224,11047
ucin225,1058445
ucin226,345634
ucin227conc,1083128
ucin228z,1313181
ucin229,589061
ucin230,1204867
ucin231,1140221
ucin232,1154784
ucin233,477350
ucin234,1134220
ucin235z,856014
ucin236,765783
ucin236replicate,985550
ucin237,1385267
ucin238,496420
ucin239,1532076
ucin240,1567198
ucin241,990152
ucin242,294060
ucin243,1074583
ucin244,675403
ucin245,39349767
ucin246z,589027
ucin249,1110566
ucin251,1240580
ucin252z,549809
ucin253,809938
ucin256,398924
ucin257,1675009
ucin258,785959
ucin259,1131031
ucin260reconc,1035564
ucin261,746462
ucin261replicate,168331
ucin262reconc,1333173
ucin263,541846
ucin264,517543
ucin265conc,862460
ucin266reconc,1412262
ucin267,1361961
ucin268,1233900
ucin269,1404312
ucin270,683140
ucin271REz,291003
ucin273,1082551
ucin274re,706535
ucin275,1188398
ucin276z,430817
ucin277z,423204
ucin278z,594076
ucin279conc,631734
ucin279concreplicate,1654817
ucin300,805398
ucin301,785941
ucin302,397404
ucin303,319398
ucin304,63588
ucin305,476708
ucin306,1283994
ucin307,600890
ucin308,270693
ucin309,692600
ucin310conc,488395
ucin311,82950
ucin312,67392
ucin313,1233060
ucin314z,697379
ucin315,781523
ucin316,1195771
ucin317z,591724
ucin318,687223
ucin319z,202000
ucin320z,988831
ucin321,1597835
ucin322,369811
ucin323,523262
ucin324z,1522418
ucin325re,52168
ucin326conc,879739
ucin327re,909046
ucin328,1019312
ucin329,1264633
ucin330,373084
ucin331,228585
ucin332,498033
ucin333,47134
ucin334re,1011699
ucin335z,27504718
ucin336,406844
ucin337,740380
ucin338,491707
ucin339,325756
ucin340,105032
ucin341conc,27816865
ucin342re,26128
ucin343conc,978938
ucin344,1440728
ucin345re,1139109
ucin346,1782827
ucin347conc,1109930
ucin348,798327
ucin349conc,138825
ucin350,1229643
ucin351re,1859663
ucin352z,3816496
ucin353z,109078
ucin354,1320456
ucin355,2957109
ucin356,1650330
ucin357z,88608
ucin358conc,320036
ucin359,740708
ucin360,206267
ucin361,1900242
ucin362z,99087
ucin363,752883
ucin364conc,977960
ucin365,700837
ucin379,1558964
ucin380conc,992409
ucin381,580644
ucin382,184537
ucin383,1904384
ucin384REz,20324
ucin385,724450
ucin386,1222526
ucin399,1588380
ucin400,1266463
ucin401,1830630
ucin402,1031378
ucin404,1652084
ucin405,1547217
ucin406RE,2082149
ucin407RE,954978
ucin408re,3395929
ucin409,16688043
ucin410z,144852
ucin411z,367287
ucin412,1047715
ucin413,1695957
ucin413replicate,3542394
ucin414,586324
ucin415,100779
ucin416,1975839
ucin417z,201030
ucin418z,15125
ucin419conc,1997305
ucin420,922659
ucin421z,894641
ucin422,269496
ucin423z,565604
ucin424,1511246
ucin425,1001427
ucin426,554681
ucin427RE,1051939
ucin428z,2055249
ucin429,77288
ucin430z,1217671
ucin431z,103151
ucin432z,650038
ucin433,961346
ucin434,704453
ucin435,1304984
ucin436,1575761
ucin437,669075
